Domains,Industry,Class,Employees,Discover - Events,Discover - Overall Score,Discover - Event Count
dunbia.com,Manufacturing,1,5000,,Excellent,0
slaughterandmay.com,Law Firms & Legal Services,1,2871,Type: *** Discover Insider ***Event: Head Of I T Infrastructure And Operations of Slaughterandmay told us they were looking into 'Insufficient resources within the next 12 Months.Date: 24/10/2023Type: Partners WithEvent: Slaughter & May LLP partnered with The 93% Club on May 1st '23.URL: https://www.slaughterandmay.com/news/slaughter-and-may-partners-with-the-93-club-to-launch-a-new-professional-network-to-improve-outcomes-for-state-educated-people-in-the-workplace/Date: 27/09/2023Type: Recognized AsEvent: Slaughter & May LLP recognized as Heroes Role Models lists 2023 on May 1st '23.URL: https://www.slaughterandmay.com/news/slaughter-and-may-lawyers-named-in-heroes-role-models-lists-2023/Date: 21/09/2023Type: LeavesEvent: Kay Osborne left Slaughter & May LLP as Chief Operating Officer on May 1st '23.URL: https://www.bellevuelaw.co.uk/news/bellevue-law-snaps-up-slaughter-and-may-senior-manager-as-new-chief-operating-officer/Date: 26/07/2023Type: Partners WithEvent: Bridge Group partnered with Slaughter & May LLP on May 1st '23.URL: https://www.lawcareers.net/Explore/News/Magic-circle-firm-commits-to-social-mobility-objectives-26072023Date: 02/07/2023Type: HiresEvent: Slaughter & May LLP hired Moira Thompson Oliver as Head of Business and Human Rights on May 1st '23.URL: https://www.slaughterandmay.com/news/slaughter-and-may-appoints-moira-thompson-oliver-as-head-of-business-and-human-rights,Excellent,5
willmottdixon.co.uk,Construction,1,2076,Type: *** Discover Insider ***Event: Group HR Operations Manager of Willmottdixon told us they were looking into 'Deal with routine employee requests more efficiently.Date: 04/09/2023Type: Partners WithEvent: Boltonac will partner with Willmott Dixon Group on Sep 1st '24.URL: https://www.fenews.co.uk/education/university-of-bolton-and-willmott-dixon-ensure-community-legacy/Date: 02/08/2023Type: Partners WithEvent: Community Wood Recycling partners with Willmott Dixon Group.URL: https://communitywoodrecycling.org.uk/manchester-based-wood-recyclers-emerge-touch-wood-partner-with-willmott-dixon-to-support-the-local-communityDate: 12/07/2023Type: Partners WithEvent: Willmott Dixon Group partners with Touchwoodrealestate.URL: https://willmottdixon.co.uk/news/volunteers-celebrate-new-rochdale-workshop-that-brings-together-communityDate: 12/07/2023Type: Partners WithEvent: Willmott Dixon Group partners with Petrus.URL: https://willmottdixon.co.uk/news/volunteers-celebrate-new-rochdale-workshop-that-brings-together-communityDate: 26/06/2023Type: Partners WithEvent: Willmott Dixon Group partners with Napper Architects Limited.URL: https://www.theconstructionindex.co.uk/news/view/willmott-dixon-wins-darlington-station-revamp,Good,5
herts.ac.uk,Education,1,2564,Type: *** Discover Insider ***Event: HR Business Partner of Herts told us they were looking into 'Introduce process automation into your HR service delivery.,Excellent,0
beazley.com,Insurance,1,1900,Date: 29/10/2023Type: hiresEvent: Beazley hired Brenna Westinghouse as corporate head of strategy on Nov 1st '23.URL: https://www.reinsurancene.ws/brenna-westinghouse-becomes-corporate-head-of-strategy-beazley/Date: 10/10/2023Type: LaunchesEvent: Beazley launches Virtual Care.URL: https://barcelonahealthhub.com/news/2023/10/10/beazley-introduces-its-product-virtual-care-bhhmembersinitiatives/Date: 17/09/2023Type: Receives FinancingEvent: Beazley receives financing of $16.5M.URL: https://www.businessinsurance.com/article/20230918/STORY/912359884/Beazley-adds-third-privately-placed-cyber-cat-bondDate: 13/09/2023Type: LeavesEvent: Dumas leaves Beazley as head of cyber data science & analytics.URL: https://www.insurancebusinessmag.com/us/news/cyber/trium-cyber-appoints-specialist-to-oversee-risk-and-analytics-459686.aspxDate: 31/08/2023Type: LaunchesEvent: Beazley launches parametric tornado insurance product.URL: https://www.targetmkts.com/member-news/item/4052-beazley-introduces-new-tornado-crisis-insurance-product,Excellent,5
newday.co.uk,Finance,1,1121,Date: 15/02/2023Type: signs_new_clientEvent: The Checkout Group signs new client NewDay Cards Ltd.URL: https://www.fintechfutures.com/2023/02/newday-taps-checkout-com-to-streamline-debit-card-payments/Date: 15/02/2023Type: Partners WithEvent: The Checkout Group partners with NewDay Cards Ltd.URL: https://www.chargedretail.co.uk/2023/02/15/checkout-newday-partnership/Date: 15/11/2022Type: Partners WithEvent: Cogo partners with NewDay Cards Ltd.URL: https://www.cogo.co/post/cogo-and-newday-partnership,Excellent,3
homeserve.com,Consumer Services,1,2524,,Good,0
brewin.co.uk,Finance,1,2186,,Excellent,0
quilter.com,Finance,1,3056,Type: *** Discover Insider ***Event: IT Security Manager of Quilter told us they were looking into 'Protect remote workers in web & cloud within the next Immediately.,Excellent,0
oxfordshire.gov.uk,Government,1,5148,,Good,0
durham.ac.uk,Education,1,4300,Type: *** Discover Insider ***Event: HR Business Partner of Durham told us they were looking into 'Improve HR analytics to help make better informed decisions.,Good,0
gocardless.com,Software,1,615,,Excellent,0
preqin.com,Media & Internet,1,500,,Excellent,0
bankofengland.co.uk,Finance,1,4675,,Excellent,0
sophos.com,Software,1,4050,,Excellent,0
redbeemedia.com,Media & Internet,1,2457,,Good,0
aspen.co,Insurance,1,910,,Excellent,0
revolut.com,Finance,1,6000,"Type: *** Discover Insider ***Event: Head Of Technology of Revolut, is interested in VMware backup for dummies - whitepaper in Australia.",Excellent,0
axiscapital.com,Insurance,1,2082,,Good,0
guycarp.com,Insurance,1,3200,,Good,0
gallifordtry.co.uk,Construction,1,2512,Type: *** Discover Insider ***Event: Manager of Gallifordtry told us they were looking into ' Organizational change.,Excellent,0
wescot.co.uk,Finance,1,1164,Type: *** Discover Insider ***Event: Head Of IT Development of Wescot told us they were looking into 'SaaS CRM data within the next 6-12 months.,Good,0
viridor.co.uk,"Energy, Utilities & Waste",1,2994,Type: *** Discover Insider ***Event: Director of Viridor told us they were looking into ' Hardware refresh.,Good,0
premierfoods.co.uk,Manufacturing,1,4000,Type: *** Discover Insider ***Event: Head Of IT Development of Premierfoods told us they were looking into 'Hardware refresh within the next 6 - 9 months.,Good,0
vocalink.com,Finance,1,1170,Type: *** Discover Insider ***Event: Director Of Marketing Also Responsible For Communications Decision Making of Vocalink told us they were looking into ' Its finding the write messaging within the next ['7 to 9 Months'].,Good,0
phs.co.uk,Business Services,1,2800,Type: *** Discover Insider ***Event: Manager of Phs told us they were looking into ' Backup/recovery performance unacceptable .,Good,0
harveynichols.com,Media & Internet,1,2796,Type: *** Discover Insider ***Event: Group IT Director of Harveynichols told us they were looking into ' Overall Lack of Communication within the next ['7 to 9 Months'].,Excellent,0
edftrading.com,"Energy, Utilities & Waste",1,800,Type: *** Discover Insider ***Event: Director of Edftrading told us they were looking into ' Change in environment and existing system not suitable.,Excellent,0
hermes-investment.com,Finance,1,480,,Good,0
cityofglasgowcollege.ac.uk,Education,1,3031,,Good,0
cqc.org.uk,Media & Internet,1,3063,Type: *** Discover Insider ***Event: Manager of Cqc told us they were looking into ' Backup for O365.,Excellent,0
hitachicapital.co.uk,Finance,1,1550,Type: *** Discover Insider ***Event: Head Of Information Security of Hitachicapital told us they were looking into 'Endpoint Security.,Good,0
flexcon.com,Manufacturing,1,1000,"Type: *** Discover Insider ***Event: Information Technology Program Manager of Flexcon, is interested in Storage Swiss: A 4-Tier Approach to Modern Data Protection - whitepaper in United States.",Good,0
explorelearning.co.uk,Education,1,2277,Type: *** Discover Insider ***Event: IT Director Infrastructure And Security of Explorelearning told us they were looking into 'Systems are isolated within the next 12 Months.,Good,0
robertwalters.com,Business Services,1,4200,Type: *** Discover Insider ***Event: Chief Architect Security of Robertwalters told us they were looking into 'Systems are isolated within the next 12 Months.,Good,0
spirent.com,Business Services,1,1600,Type: *** Discover Insider ***Event: Manager of Spirent told us they were looking into ' Backup for O365.Date: 01/11/2023Type: Partners WithEvent: Spirent partnered with Cadence on Oct 31st '23.URL: https://911electronic.com/spirent-and-cadence-partner-to-streamline-networking-soc-verification/Date: 19/10/2023Type: LaunchesEvent: Spirent launches Spirent OCTOBOX.URL: https://tele.net.in/spirents-octobox-solution-adds-support-for-wi-fi-7-testing/Date: 19/10/2023Type: Partners WithEvent: Juniper Networks Inc partnered with Spirent on Oct 20th '23.URL: https://www.edgeir.com/juniper-networks-launches-new-security-services-architecture-for-edge-data-centers-20231020Date: 10/10/2023Type: LaunchesEvent: Spirent launches CloudSure for 5G service resiliency.URL: https://www.bisinfotech.com/spirent-launches-cloudsure-for-5g-service-resiliency/Date: 25/09/2023Type: LaunchesEvent: Spirent launched software-based version of O-DU wraparound test solution on Sep 26th '23.URL: https://www.electronicsweekly.com/news/business/software-based-o-ran-tester-2023-09/,Good,5
wasabi.uk.com,Hospitality,1,47,Type: *** Discover Insider ***Event: Director Information Technology of Wasabi told us they were looking into 'Data protection against Cyberthreats within the next 9 - 12 months.,Good,0
unum.co.uk,Insurance,1,9,Type: *** Discover Insider ***Event: Sr Manager of Unum told us they were looking into ' Change in environment and existing system not suitable.,Good,0
pdports.co.uk,Transportation,1,1211,Type: *** Discover Insider ***Event: Group Human Resources Manager of Pdports told us they were looking into 'Digitalise HR and reduce the amount of paper.,Excellent,0
hoganlovells.com,Manufacturing,1,7500,"Type: *** Discover Insider ***Event: Global Head Of IT Infrastructure And Operations of Hoganlovells, is interested in 5-min demo: SaaS Data Protection in United States.Date: 31/10/2023Type: Expands FacilitiesEvent: Hogan Lovells expands facilities to Tanzania.URL: https://legaldesire.com/hogan-lovells-advises-the-eastern-and-southern-african-trade-and-development-bank-on-us30-million-tanzania-solar-homes-financing/Date: 25/10/2023Type: LaunchesEvent: Hogan Lovells launches 2024 Nicholas Cheffings Para Athlete Bursary.URL: https://paralympics.org.uk/articles/hogan-lovells-launches-2024-nicholas-cheffings-para-athleteDate: 25/10/2023Type: Receives AwardEvent: Hogan Lovells receives award Everyone's Business Award.URL: https://www.hestia.org/News/collinson-group-and-hogan-lovells-receives-hestias-everyones-business-awardDate: 02/10/2023Type: HiresEvent: Hogan Lovells hires Paul Hastings as partner.URL: https://www.law.com/therecorder/2023/10/03/hogan-lovells-hires-paul-hastings-private-equity-partner-with-renewed-focus-in-silicon-valley/?slreturn=20230904041616Date: 02/10/2023Type: HiresEvent: Hogan Lovells hired Todd Schwartz as partner on Oct 3rd '23.URL: https://www.law.com/therecorder/2023/10/03/hogan-lovells-hires-paul-hastings-private-equity-partner-with-renewed-focus-in-silicon-valley/?slreturn=20230904041616",Good,5
elysiumhealthcare.co.uk,Hospitals & Physicians Clinics,1,321,Type: *** Discover Insider ***Event: Director Of Information Management Infrastructure And Security of Elysiumhealthcare told us they were looking into 'Systems are isolated within the next 12 Months.Date: 21/09/2023Type: Receives AwardEvent: Elysium Healthcare Limited receives award NR Times 2023 Awards.URL: https://in-pa.org.uk/2023/09/bringing-recognition-to-those-making-a-difference-elysium-healthcare-supports-nr-times-2023-awards/Date: 12/07/2023Type: AcquiresEvent: Spire Healthcare Group acquires Elysium Healthcare Limited for $954M.URL: https://healthcareandprotection.com/ramsay-healthcare-acquires-elysium-healthcare-in-a1-4bn-deal/,Excellent,2
graham.co.uk,Construction,1,2000,Type: *** Discover Insider ***Event: Director of Graham told us they were looking into ' Backup/recovery performance unacceptable .Date: 19/09/2023Type: HiresEvent: GRAHAM Group hires Anton Forsberg as Dean and Gord.URL: https://www.tsn.ca/radio/ottawa-1200/forsberg-it-s-going-to-be-a-healthy-competition-and-that-s-how-it-should-be-1.2009557Date: 04/07/2023Type: Partners WithEvent: FP McCann Ltd partners with GRAHAM Group.URL: https://www.offsitehub.co.uk/industry-news/news/industry-news/news/precast-concrete-precast-transformations/,Excellent,2
wolseley.co.uk,Retail,1,5832,Date: 01/02/2023Type: partners_withEvent: Prosolve partners with Wolseley UK Limited.URL: https://prosolveproducts.com/news-events/Burdens-Leeds-Branch-Receives-the-ProSolve-Treatment/Date: 24/01/2023Type: LaunchesEvent: Wolseley UK Limited launches recycling/reconditioning scheme.URL: https://www.hvnplus.co.uk/uncategorised/wolseley-unveils-recycling-scheme-for-pcbs-valves-and-fans-24-01-2023/Date: 24/01/2023Type: Partners WithEvent: Wolseley UK Limited partners with Heating Trade Supplies Group.URL: https://www.hvnplus.co.uk/uncategorised/wolseley-unveils-recycling-scheme-for-pcbs-valves-and-fans-24-01-2023/Date: 12/01/2023Type: AcquiresEvent: Wolseley UK Limited acquired Kooltech Ltd on Jan 1st '23.URL: https://www.racplus.com/news/wolseley-to-expand-cooling-reach-with-purchase-of-kooltech-12-01-2023/,Excellent,4
man.com,Finance,1,1655,Type: *** Discover Insider ***Event: IT Head Of Platform Engineering of Man told us they were looking into 'Ensure compliance & governance within the next 6 months.Date: 25/10/2023Type: Invests Into AssetsEvent: Man Group invests into assets: stake in Medical Properties Trust in the amount of $32.6M.URL: https://slatersentinel.com/news/2023/10/26/shufro-rose-co-llc-purchases-4650-shares-of-medical-properties-trust-inc-nysempw.htmlDate: 24/08/2023Type: HiresEvent: Man Group hired Laurie Fitch as non-executive director on Aug 25th '23.URL: https://www.man.com/laurie-fitch-joining-man-group-boardDate: 01/08/2023Type: Partners WithEvent: Man Group partners with Top Hat.URL: https://wiltshirepensionfund.org.uk/article/7878/Investing-in-Innovative-Zero-Waste-ConstructionDate: 13/07/2023Type: LaunchesEvent: Man Group launched Journey Across the Solar on Jul 13th '23.URL: https://juli.uk/3-cool-new-wallpapers-you-gainedt-remorse-downloading/Date: 06/07/2023Type: AcquiresEvent: Varagon Capital Partners acquires Man Group for $11.8B.URL: https://www.ft.com/content/f45889c2-d971-488c-9681-f70cc0e21290,Excellent,5
ctshirts.co.uk,Manufacturing,1,631,Type: *** Discover Insider ***Event: Director Of HR of Ctshirts told us they were looking into 'Improve HR analytics to help make better informed decisions.,Good,0
lighthouseglobal.com,Business Services,1,1000,Date: 25/04/2023Type: receives_awardEvent: Lighthouse Document Technologies Inc. received award Diversity in Security award in the Microsoft Security Excellence Awards 2023 on Apr 26th '23.URL: https://www.lighthouseglobal.com/newsroom/lighthouse-recognized-as-a-microsoft-security-excellence-awards-winner-for-diversity-in-security,Booster activated,1
zenith-bank.co.uk,Finance,1,156,Type: *** Discover Insider ***Event: Head Of IT of Zenith Bank told us they were looking into 'Scalability within the next 6 months.Date: 02/07/2023Type: Recognized AsEvent: Zenith Bank PLC recognized as Bank of the Decade (People’s Choice) at ThisDay Awards 2020.URL: https://reportersdiary.com.ng/2023/07/03/zenith-bank-retains-number-one-bank-positive-in-nigeria-by-tier-1-capital-in-the-2023-top-1000-world-banks-ranking/,Good,1
csgi.com,Software,1,5700,"Type: *** Discover Insider ***Event: Software Development Manager of Csgi, is interested in 7 Critical Reasons for Microsoft 365 Backup in Australia.Date: 19/09/2023Type: Invests IntoEvent: Harbor Funds invests into CSG International $313K.URL: https://www.marketbeat.com/instant-alerts/nasdaq-csgs-sec-filing-2023-09-20/Date: 15/07/2023Type: Partners WithEvent: PLDT Inc. partners with CSG International.URL: https://www.yugatech.com/news/pldt-globe-are-the-most-valuable-strongest-filipino-brands-of-2023-brand-finance/Date: 21/06/2023Type: Partners WithEvent: PLDT Inc. partners with CSG International.URL: https://www.telecomtv.com/content/digital-platforms-services/pldt-and-csg-build-on-20-year-relationship-to-modernise-for-the-future-47816/",Excellent,3
ocs.co.uk,,1,,Type: *** Discover Insider ***Event: Manager of Ocs told us they were looking into ' Data protection against Cyberthreats.,Good,0
relx.com,Software,1,35700,"Type: *** Discover Insider ***Event: Information Technology Application Manager of Relx told us they were looking into 'Client Solutions within the next 6-12 Months.Date: 23/07/2023Type: Invests IntoEvent: Simplicity Solutions, LLC invests into RELX Group plc $318K.URL: https://www.marketbeat.com/instant-alerts/nyse-relx-sec-filing-2023-07-23/Date: 31/05/2023Type: Partners WithEvent: Feelm partners with RELX Group plc.URL: https://www.mlifevape.com/ExpoNews/760.htmlDate: 16/02/2023Type: Retires FromEvent: Wolfhart Hauser retires from RELX Group plc.URL: https://www.directorstalkinterviews.com/relx-director%C2%A0dr-wolfhart-hauser-to-retire-from-the-board/4121106072",Excellent,3
