Domains,Industry,Event Count,Discover - Overall Score
interia.pl,Other,0,Good
dbschenker.com,Other,5,Booster activated
hapag-lloyd.com,Other,1,Excellent
flite.avature.net,Marketing,0,Good
vts.com,Computer and Technology,0,Booster activated
myaic.com,Other,0,Good
worldremit.com,Finance,3,Excellent
rawlplug.com,Other,0,Good
biuro.lt,Legal Services,0,Good
veolia.pl,Other,0,Good
sollers.eu,Other,0,Good
vaimo.com,Other,0,Good
arlafoods.com,Other,0,Good
fcabankgroup.com,Finance,0,Good
bnpparibas.pl,Finance,0,Good
cowi.coM,Other,0,Good
objectivity.co.uk,Other,0,Excellent
polsl.pl,Education,0,Good
ca-assurances.com,Other,4,Excellent
rp.pl,Information Technology,0,Good
girteka.eu,Other,0,Good
pl.pwc.com,Other,0,Good
amberbev.com,Other,0,Good
inter-team.pl,Aviation,0,Good
grantthornton.pl,Finance,0,Good
iqvia.com,Health Care,5,Booster activated
digitalvirgo.com,Marketing,5,Good
lotams.com,Aviation,0,Good
atkearney.com,Legal Services,0,Good
maxima.ee,Retail,0,Good
audatex.com,Aviation,0,Good
groupecat.com,Other,0,Good
g2a.com,Other,0,Good
radiometer.com,Manufacturing,0,Excellent
flaktgroup.com,Other,0,Excellent
mcclabel.com,Other,3,Good
danone.com,Other,0,Excellent
swisskrono.com,Other,0,Excellent
kldiscovery.com,Other,5,Excellent
bbh.com,Finance,5,Booster activated
credit-suisse.com,Finance,5,Excellent
erif.pl,Finance,0,Good
uni.lodz.pl,Education,0,Good
mokate.com.pl,Other,0,Good
sebn.com,Aviation,0,Good
almaviva.it,Computer and Technology,0,Good
sella.it,Finance,0,Good
sella.it,Finance,0,Good
bancobpm.it,Finance,0,Good
bottero.com,Manufacturing,0,Good
bper.it,Finance,2,Excellent
camparigroup.com,Other,5,Good
crif.com,Computer and Technology,3,Good
datalogic.com,Manufacturing,1,Good
dolcegabbana.it,Retail,0,Good
durst-group.com,Marketing,0,Good
enel.com,Energy,5,Excellent
enel.com,Energy,5,Excellent
eng.it,Computer and Technology,0,Excellent
eni.com,Energy,5,Excellent
esselunga.it,Retail,1,Good
esselunga.it,Retail,1,Good
ferrari.com,Aviation,5,Good
ferrero.com,Retail,5,Excellent
gruppoiren.it,Energy,0,Good
candy.it,Manufacturing,0,Good
gruppohera.it,Energy,0,Good
gruppohera.it,Energy,0,Good
hitachirail.com,Information Technology,0,Good
hitachirail.com,Information Technology,0,Good
insiel.it,Computer and Technology,0,Good
italgas.it,Energy,0,Good
iit.it,Other,0,Good
italtel.com,Information Technology,0,Good
leonardocompany.com,Aviation,0,Excellent
mzb-group.com,Other,0,Good
pirelli.com,Aviation,5,Excellent
polimi.it,Other,0,Good
posteitaliane.it,Information Technology,2,Good
telespazio.com,Aviation,2,Good
terna.it,Energy,0,Good
windtregroup.com,Information Technology,0,Good
windtre.it,Information Technology,0,Good
altice.net,Information Technology,1,Good
bportugal.pt,Finance,0,Excellent
edp.com,Other,0,Good
edp.com,Energy,0,Good
renault.com,Aviation,5,Good
jeronimo-martins.pt,Retail,0,Good
millenniumbcp.pt,Finance,0,Good
abengoa.com,Energy,0,Good
activisionblizzard.com,Marketing,5,Excellent
agroptima.com,Other,0,Good
ahorramas.com,Retail,0,Good
alestis.aero,Aviation,0,Good
altran.com,Information Technology,0,Good
applus.com,Manufacturing,2,Good
bancsabadell.com,Finance,0,Good
gruposantander.com,Finance,0,Good
santander.com,Finance,5,Good
bbva.com,Finance,5,Excellent
caixabank.com,Finance,0,Good
capgemini.com,Information Technology,5,Excellent
cbre.com,Real Estate,5,Excellent
cepsa.com,Other,5,Good
cepsa.com,Energy,5,Good
clariant.com,Other,5,Excellent
clarivate.com,Information Technology,4,Excellent
codere.com,Marketing,0,Good
codere.com,Health Care,0,Good
correos.com,Information Technology,0,Good
cosentino.com,Retail,1,Excellent
cotecna.com,Other,0,Excellent
deloitte.es,Legal Services,0,Good
diagroup.com,Retail,0,Good
elcorteingles.es,Retail,0,Good
endesa.es,Energy,0,Good
esteve.com,Health Care,0,Good
evolutio.com,Information Technology,0,Good
roche.com,Health Care,5,Excellent
roche.com,Other,5,Excellent
ferrer.com,Health Care,0,Good
ferrovial.com,Real Estate,5,Good
firmenich.com,Other,4,Excellent
fujitsu.com,Information Technology,5,Excellent
gasnaturalfenosa.com,Energy,0,Good
gestamp.com,Aviation,0,Good
globalia.com,Information Technology,0,Good
greystar.com,Real Estate,5,Excellent
grifols.com,Health Care,2,Excellent
ohl.com,Real Estate,0,Good
telepizza.com,Health Care,0,Good
havas.com,Legal Services,0,Good
havasmedia.com,Legal Services,0,Good
hipra.com,Health Care,0,Good
hotelbeds.com,Information Technology,0,Good
iberdrola.es,Other,0,Good
ie.edu,Education,0,Good
ilunion.com,Other,0,Good
inditex.com,Retail,5,Excellent
ingeteam.com,Other,0,Good
jti.com,Manufacturing,4,Excellent
es.logicalis.com,Information Technology,0,Good
mango.com,Retail,0,Good
mapfre.com,Finance,2,Excellent
mercadona.com,Retail,0,Good
naturgy.com,Other,5,Good
naturgy.com,Energy,5,Good
neoris.com,Information Technology,2,Good
nh-hotels.com,Health Care,0,Good
nh-hotels.com,Marketing,0,Good
nippongases.com,Other,0,Good
pepejeans.com,Retail,0,Good
privalia.com,Information Technology,0,Good
prosegur.com,Legal Services,0,Excellent
prosegur.com,Other,0,Excellent
puig.com,Retail,0,Good
randstad.es,Legal Services,0,Good
repsol.com,Energy,5,Booster activated
repsol.com,Other,5,Booster activated
ricoh-europe.com,Information Technology,0,Good
sacyr.com,Real Estate,0,Good
sage.com,Information Technology,5,Excellent
roca.es,Manufacturing,0,Good
satec-global.com,Information Technology,0,Good
seat.com,Aviation,0,Good
securitasdirect.es,Retail,0,Good
sermicro.com,Information Technology,0,Good
serunion.com,Information Technology,0,Good
sii-concatel.com,Information Technology,0,Good
solera.com,Information Technology,5,Excellent
tecnicasreunidas.es,Energy,0,Good
telefonica.com,Information Technology,1,Excellent
tandem.com,Retail,0,Good
kraftheinzcompany.com,Other,5,Excellent
tradebe.com,Other,1,Good
tubacex.com,Other,0,Good
tubacex.com,Energy,0,Good
unidadeditorial.es,Marketing,0,Good
uv.es,Education,0,Good
upm.es,Education,0,Good
vidacaixa.es,Finance,0,Good
vithas.es,Health Care,0,Good
vocento.com,Marketing,0,Good
volotea.com,Information Technology,0,Good
wizink.es,Finance,0,Good
serco.com,Computer and Technology,5,Excellent
emak.it,Manufacturing,0,Good
polito.it,Life Sciences,0,Good
teladochealth.com,Health Care,5,Excellent
altran.com,Computer and Technology,0,Good
almirall.com,Other,5,Booster activated
pullmantur.es,Information Technology,0,Good
pullmantur.com,Information Technology,0,Good
canon.es,Computer and Technology,0,Good
mediamarkt.es,Retail,0,Good
almirall.com,Health Care,5,Good
autotest.it,Aviation,0,Good
informatica.aci.it,Computer and Technology,0,Good
ynap.com,Computer and Technology,0,Excellent
laziocrea.it,Computer and Technology,0,Good
vargroup.it,Computer and Technology,0,Good
nexi.it,Finance,0,Good
pec.unipolsai.it,Finance,0,Good
mit.gov.it,Government,0,Good
bonfiglioli.com,Manufacturing,0,Good
tollegno1900.it,Manufacturing,0,Good
rai.it,Marketing,0,Good
tecnimont.it,Other,0,Good
dekra.com,Other,4,Excellent
rovagnati.it,Other,0,Good
bonfiglioli.com,Other,0,Good
polito.it,Other,0,Good
e-distribuzione.it,Energy,0,Good
italferr.it,Real Estate,0,Good
tim.it,Information Technology,0,Good
autostrade.it,Information Technology,0,Good
comifar.it,Information Technology,0,Good
heathrow.com,Aviation,5,Excellent
whitbread.com,Health Care,0,Good
mitsubishi-cars.co.uk,Aviation,0,Good
uhcw.nhs.uk,Health Care,0,Excellent
alliance-healthcare.co.uk,Health Care,0,Excellent
iaggbs.com,Aviation,0,Good
kennedyslaw.com,Legal Services,0,Good
macquarie.com,Finance,0,Good
mitsubishi-cars.co.uk,Retail,0,Good
sodexo.com,Legal Services,5,Excellent
laingorourke.com,Real Estate,5,Excellent
vanderlande.com,Manufacturing,4,Excellent
mottmac.com,Legal Services,5,Excellent
nats.co.uk,Information Technology,0,Good
whsmith.co.uk,Retail,5,Excellent
cevalogistics.com,Information Technology,5,Excellent
avanade.com,Computer and Technology,5,Excellent
eu.panasonic.com,Manufacturing,0,Good
disney.com,Marketing,5,Booster activated
allergan.com,Health Care,2,Good
wadh.ox.ac.uk,Education,0,Good
pageone.co.uk,Information Technology,0,Good
soprasteria.com,Legal Services,5,Excellent
lch.com,Finance,0,Good
solera.com,Computer and Technology,5,Booster activated
nsk.com,Manufacturing,0,Excellent
coop.co.uk,Other,1,Excellent
kingspan.com,Manufacturing,5,Excellent
elsevier.com,Marketing,5,Booster activated
astrazeneca.com,Other,5,Excellent
barnett-waddingham.co.uk,Other,0,Excellent
royalmint.com,Other,0,Good
plymouth.ac.uk,Education,2,Excellent
cranswick.uk,Other,0,Good
visionexpress.com,Retail,1,Excellent
viridor.co.uk,Other,4,Excellent
hays.com,Other,0,Excellent
cdk.com,Information Technology,0,Good
willmottdixon.co.uk,Real Estate,5,Good
activate-group.com,Aviation,0,Good
wlv.ac.uk,Education,5,Good
londonmet.ac.uk,Education,1,Good
ajbell.co.uk,Finance,4,Excellent
tuh.ie,Health Care,5,Good
leeds.ac.uk,Education,1,Good
eirgrid.com,Other,0,Good
cranfield.ac.uk,Education,5,Excellent
arthurcox.com,Other,0,Excellent
bunzl.co.uk,Retail,0,Good
caledonia.com,Finance,0,Excellent
tipeurope.com,Information Technology,3,Excellent
taylorwimpey.com,Real Estate,0,Good
spirit-energy.com,Energy,1,Excellent
soprasteria.com,Information Technology,5,Excellent
anordmardix.com,Manufacturing,0,Excellent
altrad.com,Energy,5,Good
aon.com,Finance,5,Excellent
burrowsmotorcompany.co.uk,Aviation,0,Good
astrazeneca.com,Health Care,5,Excellent
canterbury.ac.uk,Education,4,Excellent
solent.ac.uk,Education,1,Excellent
united-drug.com,Health Care,1,Good
smith-nephew.com,Health Care,5,Excellent
firstmilk.co.uk,Other,0,Good
mytimeactive.co.uk,Health Care,0,Excellent
murphygroup.co.uk,Real Estate,0,Good
eonenergy.com,Energy,0,Good
novussolutions.co.uk,Real Estate,0,Excellent
freightroute.co.uk,Information Technology,0,Good
doverfs.com,Energy,0,Good
ishidaeurope.com,Manufacturing,0,Good
huntsworth.com,Health Care,2,Good
wienerberger.com,Real Estate,0,Excellent
nhs.net,Health Care,5,Good
roberthalf.net,Other,0,Good
welcomebreak.co.uk,Health Care,0,Good
thomascook.com,Other,1,Excellent
2sfg.com,Other,4,Good
law.ac.uk,Education,0,Excellent
wernick.co.uk,Real Estate,0,Good
wavenetuk.com,Information Technology,0,Good
vinci.plc.uk,Real Estate,2,Good
penguinrandomhouse.co.uk,Marketing,0,Good
wsp.com,Real Estate,0,Good
mayerbrown.com,Other,0,Good
williamhill.co.uk,Other,1,Good
bankofengland.co.uk,Finance,4,Excellent
nortonrosefulbright.com,Other,0,Good
aggregate.com,Real Estate,5,Good
shell.com,Energy,5,Excellent
viridor.co.uk,Energy,4,Good
brighton.ac.uk,Education,2,Excellent
franklintempleton.co.uk,Finance,0,Good
qa.com,Other,1,Excellent
aspectcapital.com,Finance,0,Good
ulster.ac.uk,Education,0,Good
beds.ac.uk,Education,1,Excellent
orwell-housing.co.uk,Non-profit Organizations,0,Good
kingfisher.com,Retail,3,Good
wickes.co.uk,Retail,1,Excellent
trowers.com,Other,0,Excellent
linklaters.com,Other,5,Excellent
hoganlovells.com,Other,5,Good
ft.com,Marketing,5,Excellent
generalmills.com,Retail,5,Good
inchcape.com,Aviation,5,Good
groupm.com,Marketing,5,Good
hants.gov.uk,Government,0,Good
havas.com,Marketing,0,Good
imiplc.com,Energy,0,Excellent
cummins.com,Aviation,5,Good
brownshipley.co.uk,Finance,0,Good
survitecgroup.com,Health Care,0,Good
britanniahotels.com,Health Care,1,Excellent
ascential.com,Computer and Technology,0,Excellent
canadalife.co.uk,Finance,0,Good
golder.com,Other,2,Good
southco.com,Manufacturing,0,Good
ao.com,Retail,2,Excellent
lboro.ac.uk,Education,2,Excellent
pellfrischmann.com,Real Estate,0,Good
warburtons.co.uk,Other,3,Excellent
lit.ie,Education,0,Good
domesticandgeneral.com,Finance,0,Excellent
warrington.gov.uk,Government,0,Good
canalrivertrust.org.uk,Other,5,Excellent
ngbailey.co.uk,Real Estate,0,Good
careysplc.co.uk,Real Estate,0,Good
zpg.co.uk,Information Technology,0,Good
subsea7.com,Energy,5,Good
therange.co.uk,Retail,4,Excellent
rotherham.gov.uk,Government,0,Good
westsussex.gov.uk,Government,5,Good
grundon.com,Other,0,Good
gcu.ac.uk,Education,5,Excellent
northumbria.nhs.uk,Health Care,0,Good
chevron.com,Energy,5,Booster activated
woodplc.com,Energy,5,Good
wolseley.com,Retail,0,Good
bam.co.uk,Real Estate,0,Good
bentley.co.uk,Aviation,0,Good
worc.ac.uk,Education,0,Excellent
bupa.com,Health Care,1,Excellent
southwestwater.co.uk,Other,5,Excellent
activatelearning.ac.uk,Education,4,Good
krestonreeves.com,Finance,0,Good
harpercollins.com,Marketing,5,Booster activated
fluor.com,Real Estate,2,Booster activated
t-systems.com,Computer and Technology,0,Booster activated
moorfields.nhs.uk,Health Care,0,Good
redcar-cleveland.gov.uk,Government,0,Good
sap.com,Computer and Technology,5,Excellent
premierfoods.co.uk,Other,5,Excellent
abbott.com,Health Care,5,Booster activated
yorkshirehousing.co.uk,Non-profit Organizations,0,Excellent
skanska.co.uk,Real Estate,3,Excellent
careuk.com,Health Care,5,Excellent
carterjonas.co.uk,Real Estate,1,Excellent
salford.ac.uk,Education,5,Good
thelondonclinic.co.uk,Health Care,0,Excellent
brothersofcharity.ie,Health Care,0,Good
ucd.ie,Education,2,Good
durham.ac.uk,Education,5,Excellent
pladisglobal.com,Retail,2,Excellent
sonoco-trident.com,Other,0,Good
srm.com,Real Estate,1,Good
telerealtrillium.com,Real Estate,0,Excellent
benenden.org.uk,Health Care,0,Good
certitude.london,Non-profit Organizations,0,Good
shu.ac.uk,Education,0,Excellent
ttelectronics.com,Manufacturing,2,Excellent
riverside.org.uk,Non-profit Organizations,5,Excellent
bcg.com,Other,5,Booster activated
reading.ac.uk,Education,0,Excellent
urenco.com,Energy,3,Excellent
uwl.ac.uk,Education,1,Good
weightmans.com,Other,5,Excellent
replgroup.com,Information Technology,0,Excellent
trayport.com,Information Technology,0,Booster activated
bradford.gov.uk,Government,0,Good
space-engineering.co.uk,Other,0,Good
rullion.co.uk,Other,0,Good
stockton.gov.uk,Government,0,Good
frescagroup.co.uk,Retail,0,Good
rgu.ac.uk,Education,5,Excellent
smartbox.com,Information Technology,2,Good
1spatial.com,Information Technology,0,Excellent
uhl-tr.nhs.uk,Health Care,0,Good
gateshead.gov.uk,Government,0,Good
thirteengroup.co.uk,Non-profit Organizations,0,Good
eaton.com,Manufacturing,5,Excellent
york.nhs.uk,Health Care,0,Good
warburtons.co.uk,Retail,3,Excellent
ap-group.co.uk,Manufacturing,0,Excellent
hifx.co.uk,Finance,0,Good
stmodwen.co.uk,Real Estate,2,Excellent
eirgrid.com,Energy,0,Good
churchill1795.com,Other,0,Good
bindingsite.com,Other,0,Good
woking.gov.uk,Government,0,Good
fe-fundinfo.com,Finance,0,Good
esfrs.org,Government,0,Good
footanstey.com,Legal Services,0,Good
infinis.com,Energy,0,Good
motorpoint.co.uk,Manufacturing,0,Good
parkwayvolkswagen.co.uk,Manufacturing,0,Good
wd40.co.uk,Retail,0,Excellent
sqa.org.uk,Education,0,Good
xodusgroup.com,Energy,0,Excellent
tdlpathology.com,Health Care,0,Good
f1.com,Marketing,0,Good
williamfry.ie,Legal Services,0,Good
firstrate.co.uk,Finance,0,Good
frescagroup.co.uk,Other,0,Good
beaverbrooks.co.uk,Retail,5,Excellent
adnams.co.uk,Manufacturing,0,Excellent
breheny.co.uk,Real Estate,0,Excellent
colchester.gov.uk,Government,0,Good
arsenal.co.uk,Retail,0,Good
ap-group.co.uk,Information Technology,0,Excellent
tide.co,Finance,2,Excellent
hilldickinson.com,Legal Services,3,Excellent
hopwood.ac.uk,Education,0,Good
mclarengroup.com,Real Estate,0,Excellent
mvkelly.co.uk,Real Estate,0,Good
f1.com,Marketing,0,Good
london.edu,Education,0,Excellent
fbd.ie,Finance,0,Excellent
gravesham.gov.uk,Government,0,Good
konicaminolta.co.uk,Information Technology,0,Good
abb.com,Manufacturing,5,Good
ch.abb.com,Manufacturing,0,Good
accor.com,Information Technology,5,Booster activated
alcon.com,Health Care,5,Booster activated
amgen.com,Other,5,Excellent
autodesk.com,Computer and Technology,5,Booster activated
bbraun.com,Health Care,0,Excellent
baloise.com,Finance,1,Good
bkb.ch,Finance,0,Excellent
baxter.com,Health Care,5,Booster activated
bayer.com,Life Sciences,5,Booster activated
bdo.ch,Other,0,Good
bls.ch,Information Technology,0,Good
bt.com,Information Technology,5,Excellent
capgemini.com,Computer and Technology,5,Booster activated
citigroup.com,Finance,5,Excellent
cchellenic.com,Other,0,Good
db.com,Finance,5,Excellent
ef.com,Education,0,Good
engie.com,Real Estate,5,Booster activated
firmenich.com,Life Sciences,4,Booster activated
firmenich.com,Health Care,4,Booster activated
addaxpetroleum.com,Energy,0,Good
ge.com,Manufacturing,5,Booster activated
ge.com,Energy,5,Booster activated
generali.com,Finance,5,Excellent
generali.com,Other,5,Excellent
honeywell.com,Manufacturing,5,Excellent
jetaviation.com,Aviation,5,Good
nagra.com,Information Technology,0,Good
nagra.com,Computer and Technology,0,Good
kuehne-nagel.com,Information Technology,3,Excellent
liebherr.com,Manufacturing,5,Excellent
lonza.com,Health Care,5,Excellent
mammut.com,Retail,2,Good
meggitt.com,Aviation,1,Excellent
nestle.com,Other,5,Excellent
nzz.ch,Marketing,0,Good
nokia.com,Information Technology,5,Booster activated
novartis.com,Health Care,5,Booster activated
omya.com,Energy,0,Good
psi.ch,Life Sciences,3,Excellent
psi.ch,Other,3,Excellent
pepsico.com,Other,5,Booster activated
raiffeisen.ch,Finance,0,Good
raiffeisen.ro,Finance,0,Good
rockwell.com,Manufacturing,0,Good
sap.com,Information Technology,5,Good
schindler.com,Manufacturing,4,Excellent
sbb.ch,Information Technology,0,Excellent
sgs.com,Other,5,Excellent
sicpa.com,Health Care,0,Excellent
sicpa.com,Other,0,Excellent
zhaw.ch,Education,0,Excellent
st.com,Manufacturing,5,Booster activated
straumann.com,Health Care,1,Excellent
swisscom.ch,Information Technology,1,Excellent
swisscom.ch,Computer and Technology,1,Excellent
swisspro.ch,Real Estate,0,Good
syngenta.com,Food and Beverage,5,Excellent
syngenta.com,Other,5,Excellent
